                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5128,                  4.197,                 4.1035,                0.14534,                0.15175,                0.05985,                0.01739,                 2.5319,                  6.053,                 3.8014,              0.0033245,              0.0033245,              0.0033245
                      2,                 2.6151,                 3.0104,                 3.1276,                0.27733,                0.25086,                 0.1944,                0.06918,                 2.1892,                 2.8162,                 3.0348,              0.0066359,              0.0066359,              0.0066359
                      3,                 2.2091,                  2.599,                 2.6512,                0.21259,                 0.1933,                0.13422,                0.05015,                 2.2485,                 9.7466,                 3.0027,              0.0099252,              0.0099252,              0.0099252
                      4,                 2.0619,                 2.4439,                 2.4659,                0.32274,                0.26654,                0.23344,                0.10554,                 1.9241,                 3.0352,                 2.5613,               0.009901,               0.009901,               0.009901
                      5,                 1.9731,                 2.3125,                 2.3669,                0.34071,                0.33268,                0.24721,                0.10416,                 1.8307,                 5.4029,                 2.4275,               0.009868,               0.009868,               0.009868
                      6,                  1.907,                 2.2258,                 2.3014,                0.45113,                0.39883,                0.35443,                0.16729,                 1.7638,                 2.3957,                 2.3853,               0.009835,               0.009835,               0.009835
                      7,                 1.8748,                 2.1599,                 2.2751,                0.44159,                0.34241,                0.33591,                0.15795,                 1.8607,                 2.6679,                  2.413,               0.009802,               0.009802,               0.009802
                      8,                 1.8314,                 2.0903,                 2.2363,                0.39554,                0.33268,                0.31172,                0.14794,                 1.7142,                 3.0677,                 2.2763,               0.009769,               0.009769,               0.009769
                      9,                 1.8178,                 2.0518,                  2.212,                0.43823,                  0.393,                0.37617,                0.17809,                 1.8224,                 2.5194,                  2.372,               0.009736,               0.009736,               0.009736
                     10,                  1.806,                 1.9799,                 2.1978,                0.46326,                0.45331,                 0.4379,                0.21435,                 1.7097,                 2.4904,                 2.2987,               0.009703,               0.009703,               0.009703
                     11,                 1.7886,                 1.9642,                 2.1846,                0.55537,                0.44942,                0.47859,                0.23581,                 1.6903,                 2.1639,                 2.2609,                0.00967,                0.00967,                0.00967
                     12,                 1.7634,                 1.9278,                 2.1654,                0.43882,                0.42996,                0.40297,                0.19847,                 1.7855,                 2.2761,                 2.3236,               0.009637,               0.009637,               0.009637
                     13,                 1.7541,                 1.9036,                 2.1452,                0.45381,                0.49416,                0.44648,                0.21969,                 1.6805,                  2.174,                 2.2208,               0.009604,               0.009604,               0.009604
                     14,                 1.7492,                 1.8671,                 2.1419,                0.46894,                0.53113,                0.48386,                 0.2442,                 1.7058,                  2.145,                 2.2721,               0.009571,               0.009571,               0.009571
                     15,                 1.7376,                  1.835,                 2.1215,                0.47087,                0.46498,                0.45464,                0.22782,                 1.7016,                 2.1661,                 2.2804,               0.009538,               0.009538,               0.009538
                     16,                  1.727,                 1.8152,                  2.126,                0.50186,                0.55253,                0.53261,                 0.2616,                  1.706,                 1.9933,                  2.283,               0.009505,               0.009505,               0.009505
                     17,                 1.7292,                 1.7888,                 2.1216,                0.58755,                0.57977,                0.59319,                0.31127,                 1.6616,                 1.6263,                 2.2155,               0.009472,               0.009472,               0.009472
                     18,                 1.7143,                 1.7512,                 2.0978,                0.57816,                0.49416,                0.50242,                0.24812,                  1.703,                 2.8393,                 2.2485,               0.009439,               0.009439,               0.009439
                     19,                 1.6921,                 1.7216,                  2.095,                0.54969,                0.56048,                0.54059,                0.27089,                 1.6648,                 2.3099,                 2.2174,               0.009406,               0.009406,               0.009406
                     20,                 1.6834,                 1.7154,                  2.084,                0.67149,                0.59728,                0.64919,                0.34218,                 1.6837,                 1.5594,                  2.202,               0.009373,               0.009373,               0.009373
                     21,                 1.6834,                 1.6696,                 2.0761,                0.63033,                0.59144,                0.63175,                0.32828,                 1.6387,                 1.6221,                 2.1604,                0.00934,                0.00934,                0.00934
