                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9781,                 3.5318,                 3.4097,                0.00281,                0.28794,                0.00206,                0.00083,                 2.3554,                 46.472,                 2.9544,              0.0006649,              0.0006649,              0.0006649
                      2,                 2.2377,                 2.6054,                 2.5415,                0.16029,                0.37549,                 0.1091,                0.04409,                 1.9993,                 3.1922,                 2.4348,              0.0012876,              0.0012876,              0.0012876
                      3,                 2.0688,                 2.4017,                 2.3786,                0.30676,                0.36381,                 0.2709,                0.10564,                  2.022,                  3.022,                 2.4425,              0.0018663,              0.0018663,              0.0018663
                      4,                 1.9893,                 2.2959,                 2.2798,                0.41219,                0.44163,                0.34629,                0.15246,                 1.8916,                 2.4365,                 2.3116,               0.001802,               0.001802,               0.001802
                      5,                 1.9261,                 2.1957,                 2.2107,                0.15055,                0.59922,                0.12833,                0.05785,                 1.7349,                 6.7381,                 2.1464,               0.001736,               0.001736,               0.001736
                      6,                 1.8631,                 2.1306,                 2.1591,                0.25937,                0.53757,                0.20446,                0.09108,                 1.7769,                 3.1103,                 2.1888,                0.00167,                0.00167,                0.00167
                      7,                 1.8385,                 2.0603,                 2.1417,                0.49785,                0.52272,                0.40639,                0.18732,                 1.7539,                 1.8846,                 2.1405,               0.001604,               0.001604,               0.001604
                      8,                 1.8111,                 2.0031,                 2.1066,                0.14281,                0.60117,                0.12738,                0.06051,                 1.7288,                  4.889,                 2.1199,               0.001538,               0.001538,               0.001538
                      9,                 1.7928,                 1.9565,                 2.0823,                0.57631,                0.55253,                0.56598,                 0.2763,                 1.7562,                 1.8388,                 2.1496,               0.001472,               0.001472,               0.001472
                     10,                 1.7728,                 1.9072,                 2.0644,                0.32047,                0.58721,                0.28317,                0.13956,                 1.6879,                 2.4365,                 2.0522,               0.001406,               0.001406,               0.001406
                     11,                 1.7574,                 1.8841,                  2.048,                0.36213,                0.56809,                0.30491,                0.15378,                 1.6642,                  2.118,                 2.0631,                0.00134,                0.00134,                0.00134
                     12,                 1.7297,                  1.853,                 2.0334,                0.51608,                0.53307,                0.50497,                0.24317,                 1.6908,                 1.9499,                 2.0567,               0.001274,               0.001274,               0.001274
                     13,                 1.7268,                 1.8098,                 2.0152,                0.55183,                0.54864,                0.50316,                0.25846,                 1.6275,                  1.953,                 2.0203,               0.001208,               0.001208,               0.001208
                     14,                 1.7107,                 1.7932,                 2.0107,                0.20774,                0.59922,                0.18603,                0.09643,                 1.6497,                 3.0118,                 2.0169,               0.001142,               0.001142,               0.001142
                     15,                 1.7031,                 1.7487,                 2.0008,                 0.5719,                0.59778,                0.51027,                0.26765,                  1.622,                 1.6731,                 1.9977,               0.001076,               0.001076,               0.001076
                     16,                 1.6903,                 1.7166,                 1.9821,                0.25253,                0.65175,                0.22299,                0.11249,                 1.6517,                 3.2754,                 2.0158,                0.00101,                0.00101,                0.00101
                     17,                 1.6865,                   1.72,                 1.9903,                0.62588,                0.61089,                0.58653,                0.30693,                 1.5948,                 1.5418,                 1.9674,               0.000944,               0.000944,               0.000944
                     18,                 1.6706,                 1.6759,                 1.9703,                0.21131,                0.70788,                 0.1942,                0.10118,                 1.6231,                 3.8603,                 1.9937,               0.000878,               0.000878,               0.000878
                     19,                  1.647,                 1.6412,                 1.9553,                0.68068,                0.65942,                0.65065,                0.35122,                 1.5938,                 1.3917,                 1.9837,               0.000812,               0.000812,               0.000812
                     20,                 1.6387,                 1.6354,                 1.9462,                0.38358,                0.66537,                0.34459,                0.18154,                 1.6122,                 1.8457,                 1.9782,               0.000746,               0.000746,               0.000746
                     21,                 1.5446,                 1.3236,                 1.9103,                0.72958,                0.71401,                0.77955,                0.44031,                 1.5458,                 1.2778,                 1.9247,                0.00068,                0.00068,                0.00068
                     22,                 1.5103,                 1.2799,                 1.8861,                0.80251,                 0.6957,                0.79929,                0.45011,                 1.5194,                 1.2816,                 1.8918,               0.000614,               0.000614,               0.000614
                     23,                 1.4819,                 1.2165,                 1.8679,                0.66335,                0.72957,                0.65057,                0.35472,                  1.541,                 1.3991,                 1.8952,               0.000548,               0.000548,               0.000548
                     24,                 1.4661,                  1.165,                 1.8532,                 0.5846,                0.72283,                0.56702,                0.30931,                 1.5435,                 1.3171,                 1.9061,               0.000482,               0.000482,               0.000482
                     25,                 1.4543,                  1.139,                 1.8463,                0.40871,                0.74319,                0.38705,                0.21835,                 1.5022,                  1.618,                 1.8731,               0.000416,               0.000416,               0.000416
                     26,                 1.4302,                 1.1252,                 1.8098,                0.49844,                0.76459,                0.48772,                0.27697,                 1.4846,                 1.3181,                   1.86,                0.00035,                0.00035,                0.00035
                     27,                 1.4257,                 1.0852,                 1.8045,                0.83157,                 0.7393,                0.84016,                0.48875,                 1.4761,                  1.095,                 1.8459,               0.000284,               0.000284,               0.000284
                     28,                 1.4106,                  1.061,                 1.7843,                0.60894,                0.77821,                0.61495,                0.34815,                 1.4865,                  1.149,                 1.8613,               0.000218,               0.000218,               0.000218
                     29,                 1.3945,                 1.0404,                 1.7821,                0.78226,                0.78285,                0.80176,                0.46633,                 1.4728,                 1.1021,                 1.8401,               0.000152,               0.000152,               0.000152
                     30,                  1.384,                 1.0164,                 1.7745,                0.77353,                0.76459,                0.75514,                0.43582,                 1.4872,                 1.1244,                 1.8496,                8.6e-05,                8.6e-05,                8.6e-05
